1:STD:ASSIGN:<NO-OP>:org.jfree.chart.util.RectangleInsets:37:1902273207559319996L |==> 0L
35:LVR:FALSE:TRUE:org.jfree.chart.util.RectangleInsets@equals:166:false |==> true
36:ROR:!=(double,double):<(double,double):org.jfree.chart.util.RectangleInsets@equals:168:this.left != that.left |==> this.left < that.left
37:ROR:!=(double,double):>(double,double):org.jfree.chart.util.RectangleInsets@equals:168:this.left != that.left |==> this.left > that.left
38:ROR:!=(double,double):TRUE(double,double):org.jfree.chart.util.RectangleInsets@equals:168:this.left != that.left |==> true
39:LVR:FALSE:TRUE:org.jfree.chart.util.RectangleInsets@equals:169:false |==> true
40:ROR:!=(double,double):<(double,double):org.jfree.chart.util.RectangleInsets@equals:171:this.right != that.right |==> this.right < that.right
41:ROR:!=(double,double):>(double,double):org.jfree.chart.util.RectangleInsets@equals:171:this.right != that.right |==> this.right > that.right
42:ROR:!=(double,double):TRUE(double,double):org.jfree.chart.util.RectangleInsets@equals:171:this.right != that.right |==> true
43:LVR:FALSE:TRUE:org.jfree.chart.util.RectangleInsets@equals:172:false |==> true
44:ROR:!=(double,double):<(double,double):org.jfree.chart.util.RectangleInsets@equals:174:this.top != that.top |==> this.top < that.top
45:ROR:!=(double,double):>(double,double):org.jfree.chart.util.RectangleInsets@equals:174:this.top != that.top |==> this.top > that.top
46:ROR:!=(double,double):TRUE(double,double):org.jfree.chart.util.RectangleInsets@equals:174:this.top != that.top |==> true
47:LVR:FALSE:TRUE:org.jfree.chart.util.RectangleInsets@equals:175:false |==> true
48:ROR:!=(double,double):<(double,double):org.jfree.chart.util.RectangleInsets@equals:177:this.bottom != that.bottom |==> this.bottom < that.bottom
49:ROR:!=(double,double):>(double,double):org.jfree.chart.util.RectangleInsets@equals:177:this.bottom != that.bottom |==> this.bottom > that.bottom
50:ROR:!=(double,double):TRUE(double,double):org.jfree.chart.util.RectangleInsets@equals:177:this.bottom != that.bottom |==> true
51:LVR:FALSE:TRUE:org.jfree.chart.util.RectangleInsets@equals:178:false |==> true
52:LVR:TRUE:FALSE:org.jfree.chart.util.RectangleInsets@equals:180:true |==> false
53:ROR:!=(java.lang.Object,java.lang.Object):TRUE(java.lang.Object,java.lang.Object):org.jfree.chart.util.RectangleInsets@hashCode:191:this.unitType != null |==> true
54:LVR:0:POS:org.jfree.chart.util.RectangleInsets@hashCode:191:0 |==> 1
55:LVR:0:NEG:org.jfree.chart.util.RectangleInsets@hashCode:191:0 |==> -1
56:ORU:+(double):-(double):org.jfree.chart.util.RectangleInsets@hashCode:192:+0.0 |==> -0.0
57:LVR:0:POS:org.jfree.chart.util.RectangleInsets@hashCode:192:0.0 |==> 1.0
58:LVR:0:NEG:org.jfree.chart.util.RectangleInsets@hashCode:192:0.0 |==> -1.0
59:ROR:!=(double,double):<(double,double):org.jfree.chart.util.RectangleInsets@hashCode:192:this.top != +0.0 |==> this.top < +0.0
60:ROR:!=(double,double):>(double,double):org.jfree.chart.util.RectangleInsets@hashCode:192:this.top != +0.0 |==> this.top > +0.0
61:ROR:!=(double,double):TRUE(double,double):org.jfree.chart.util.RectangleInsets@hashCode:192:this.top != +0.0 |==> true
62:LVR:0:POS:org.jfree.chart.util.RectangleInsets@hashCode:192:0L |==> 1L
63:LVR:0:NEG:org.jfree.chart.util.RectangleInsets@hashCode:192:0L |==> -1L
64:LVR:POS:0:org.jfree.chart.util.RectangleInsets@hashCode:193:29 |==> 0
65:LVR:POS:NEG:org.jfree.chart.util.RectangleInsets@hashCode:193:29 |==> -29
66:AOR:*(int,int):%(int,int):org.jfree.chart.util.RectangleInsets@hashCode:193:29 * result |==> 29 % result
67:AOR:*(int,int):+(int,int):org.jfree.chart.util.RectangleInsets@hashCode:193:29 * result |==> 29 + result
68:AOR:*(int,int):-(int,int):org.jfree.chart.util.RectangleInsets@hashCode:193:29 * result |==> 29 - result
69:AOR:*(int,int):/(int,int):org.jfree.chart.util.RectangleInsets@hashCode:193:29 * result |==> 29 / result
70:LVR:POS:0:org.jfree.chart.util.RectangleInsets@hashCode:193:32 |==> 0
71:LVR:POS:NEG:org.jfree.chart.util.RectangleInsets@hashCode:193:32 |==> -32
72:SOR:>>>(long,int):<<(long,int):org.jfree.chart.util.RectangleInsets@hashCode:193:temp >>> 32 |==> temp << 32
73:SOR:>>>(long,int):>>(long,int):org.jfree.chart.util.RectangleInsets@hashCode:193:temp >>> 32 |==> temp >> 32
74:LOR:^(long,long):&(long,long):org.jfree.chart.util.RectangleInsets@hashCode:193:temp ^ (temp >>> 32) |==> temp & (temp >>> 32)
75:LOR:^(long,long):|(long,long):org.jfree.chart.util.RectangleInsets@hashCode:193:temp ^ (temp >>> 32) |==> temp | (temp >>> 32)
76:AOR:+(int,int):%(int,int):org.jfree.chart.util.RectangleInsets@hashCode:193:29 * result + (int)(temp ^ (temp >>> 32)) |==> 29 * result % (int)(temp ^ (temp >>> 32))
77:AOR:+(int,int):*(int,int):org.jfree.chart.util.RectangleInsets@hashCode:193:29 * result + (int)(temp ^ (temp >>> 32)) |==> 29 * result * (int)(temp ^ (temp >>> 32))
78:AOR:+(int,int):-(int,int):org.jfree.chart.util.RectangleInsets@hashCode:193:29 * result + (int)(temp ^ (temp >>> 32)) |==> 29 * result - (int)(temp ^ (temp >>> 32))
79:AOR:+(int,int):/(int,int):org.jfree.chart.util.RectangleInsets@hashCode:193:29 * result + (int)(temp ^ (temp >>> 32)) |==> 29 * result / (int)(temp ^ (temp >>> 32))
80:STD:<ASSIGN>:<NO-OP>:org.jfree.chart.util.RectangleInsets@hashCode:193:result = 29 * result + (int)(temp ^ (temp >>> 32)) |==> <NO-OP>
81:ORU:+(double):-(double):org.jfree.chart.util.RectangleInsets@hashCode:194:+0.0 |==> -0.0
82:LVR:0:POS:org.jfree.chart.util.RectangleInsets@hashCode:194:0.0 |==> 1.0
83:LVR:0:NEG:org.jfree.chart.util.RectangleInsets@hashCode:194:0.0 |==> -1.0
84:ROR:!=(double,double):<(double,double):org.jfree.chart.util.RectangleInsets@hashCode:194:this.bottom != +0.0 |==> this.bottom < +0.0
85:ROR:!=(double,double):>(double,double):org.jfree.chart.util.RectangleInsets@hashCode:194:this.bottom != +0.0 |==> this.bottom > +0.0
86:ROR:!=(double,double):TRUE(double,double):org.jfree.chart.util.RectangleInsets@hashCode:194:this.bottom != +0.0 |==> true
87:LVR:0:POS:org.jfree.chart.util.RectangleInsets@hashCode:194:0L |==> 1L
88:LVR:0:NEG:org.jfree.chart.util.RectangleInsets@hashCode:194:0L |==> -1L
89:STD:<ASSIGN>:<NO-OP>:org.jfree.chart.util.RectangleInsets@hashCode:194:temp = this.bottom != +0.0 ? Double.doubleToLongBits(this.bottom) : 0L |==> <NO-OP>
90:LVR:POS:0:org.jfree.chart.util.RectangleInsets@hashCode:195:29 |==> 0
91:LVR:POS:NEG:org.jfree.chart.util.RectangleInsets@hashCode:195:29 |==> -29
92:AOR:*(int,int):%(int,int):org.jfree.chart.util.RectangleInsets@hashCode:195:29 * result |==> 29 % result
93:AOR:*(int,int):+(int,int):org.jfree.chart.util.RectangleInsets@hashCode:195:29 * result |==> 29 + result
94:AOR:*(int,int):-(int,int):org.jfree.chart.util.RectangleInsets@hashCode:195:29 * result |==> 29 - result
95:AOR:*(int,int):/(int,int):org.jfree.chart.util.RectangleInsets@hashCode:195:29 * result |==> 29 / result
96:LVR:POS:0:org.jfree.chart.util.RectangleInsets@hashCode:195:32 |==> 0
97:LVR:POS:NEG:org.jfree.chart.util.RectangleInsets@hashCode:195:32 |==> -32
98:SOR:>>>(long,int):<<(long,int):org.jfree.chart.util.RectangleInsets@hashCode:195:temp >>> 32 |==> temp << 32
99:SOR:>>>(long,int):>>(long,int):org.jfree.chart.util.RectangleInsets@hashCode:195:temp >>> 32 |==> temp >> 32
100:LOR:^(long,long):&(long,long):org.jfree.chart.util.RectangleInsets@hashCode:195:temp ^ (temp >>> 32) |==> temp & (temp >>> 32)
101:LOR:^(long,long):|(long,long):org.jfree.chart.util.RectangleInsets@hashCode:195:temp ^ (temp >>> 32) |==> temp | (temp >>> 32)
102:AOR:+(int,int):%(int,int):org.jfree.chart.util.RectangleInsets@hashCode:195:29 * result + (int)(temp ^ (temp >>> 32)) |==> 29 * result % (int)(temp ^ (temp >>> 32))
103:AOR:+(int,int):*(int,int):org.jfree.chart.util.RectangleInsets@hashCode:195:29 * result + (int)(temp ^ (temp >>> 32)) |==> 29 * result * (int)(temp ^ (temp >>> 32))
104:AOR:+(int,int):-(int,int):org.jfree.chart.util.RectangleInsets@hashCode:195:29 * result + (int)(temp ^ (temp >>> 32)) |==> 29 * result - (int)(temp ^ (temp >>> 32))
105:AOR:+(int,int):/(int,int):org.jfree.chart.util.RectangleInsets@hashCode:195:29 * result + (int)(temp ^ (temp >>> 32)) |==> 29 * result / (int)(temp ^ (temp >>> 32))
106:STD:<ASSIGN>:<NO-OP>:org.jfree.chart.util.RectangleInsets@hashCode:195:result = 29 * result + (int)(temp ^ (temp >>> 32)) |==> <NO-OP>
107:ORU:+(double):-(double):org.jfree.chart.util.RectangleInsets@hashCode:196:+0.0 |==> -0.0
108:LVR:0:POS:org.jfree.chart.util.RectangleInsets@hashCode:196:0.0 |==> 1.0
109:LVR:0:NEG:org.jfree.chart.util.RectangleInsets@hashCode:196:0.0 |==> -1.0
110:ROR:!=(double,double):<(double,double):org.jfree.chart.util.RectangleInsets@hashCode:196:this.left != +0.0 |==> this.left < +0.0
111:ROR:!=(double,double):>(double,double):org.jfree.chart.util.RectangleInsets@hashCode:196:this.left != +0.0 |==> this.left > +0.0
112:ROR:!=(double,double):TRUE(double,double):org.jfree.chart.util.RectangleInsets@hashCode:196:this.left != +0.0 |==> true
113:LVR:0:POS:org.jfree.chart.util.RectangleInsets@hashCode:196:0L |==> 1L
114:LVR:0:NEG:org.jfree.chart.util.RectangleInsets@hashCode:196:0L |==> -1L
115:STD:<ASSIGN>:<NO-OP>:org.jfree.chart.util.RectangleInsets@hashCode:196:temp = this.left != +0.0 ? Double.doubleToLongBits(this.left) : 0L |==> <NO-OP>
116:LVR:POS:0:org.jfree.chart.util.RectangleInsets@hashCode:197:29 |==> 0
117:LVR:POS:NEG:org.jfree.chart.util.RectangleInsets@hashCode:197:29 |==> -29
118:AOR:*(int,int):%(int,int):org.jfree.chart.util.RectangleInsets@hashCode:197:29 * result |==> 29 % result
119:AOR:*(int,int):+(int,int):org.jfree.chart.util.RectangleInsets@hashCode:197:29 * result |==> 29 + result
120:AOR:*(int,int):-(int,int):org.jfree.chart.util.RectangleInsets@hashCode:197:29 * result |==> 29 - result
121:AOR:*(int,int):/(int,int):org.jfree.chart.util.RectangleInsets@hashCode:197:29 * result |==> 29 / result
122:LVR:POS:0:org.jfree.chart.util.RectangleInsets@hashCode:197:32 |==> 0
123:LVR:POS:NEG:org.jfree.chart.util.RectangleInsets@hashCode:197:32 |==> -32
124:SOR:>>>(long,int):<<(long,int):org.jfree.chart.util.RectangleInsets@hashCode:197:temp >>> 32 |==> temp << 32
125:SOR:>>>(long,int):>>(long,int):org.jfree.chart.util.RectangleInsets@hashCode:197:temp >>> 32 |==> temp >> 32
126:LOR:^(long,long):&(long,long):org.jfree.chart.util.RectangleInsets@hashCode:197:temp ^ (temp >>> 32) |==> temp & (temp >>> 32)
127:LOR:^(long,long):|(long,long):org.jfree.chart.util.RectangleInsets@hashCode:197:temp ^ (temp >>> 32) |==> temp | (temp >>> 32)
128:AOR:+(int,int):%(int,int):org.jfree.chart.util.RectangleInsets@hashCode:197:29 * result + (int)(temp ^ (temp >>> 32)) |==> 29 * result % (int)(temp ^ (temp >>> 32))
129:AOR:+(int,int):*(int,int):org.jfree.chart.util.RectangleInsets@hashCode:197:29 * result + (int)(temp ^ (temp >>> 32)) |==> 29 * result * (int)(temp ^ (temp >>> 32))
130:AOR:+(int,int):-(int,int):org.jfree.chart.util.RectangleInsets@hashCode:197:29 * result + (int)(temp ^ (temp >>> 32)) |==> 29 * result - (int)(temp ^ (temp >>> 32))
131:AOR:+(int,int):/(int,int):org.jfree.chart.util.RectangleInsets@hashCode:197:29 * result + (int)(temp ^ (temp >>> 32)) |==> 29 * result / (int)(temp ^ (temp >>> 32))
132:STD:<ASSIGN>:<NO-OP>:org.jfree.chart.util.RectangleInsets@hashCode:197:result = 29 * result + (int)(temp ^ (temp >>> 32)) |==> <NO-OP>
133:ORU:+(double):-(double):org.jfree.chart.util.RectangleInsets@hashCode:198:+0.0 |==> -0.0
134:LVR:0:POS:org.jfree.chart.util.RectangleInsets@hashCode:198:0.0 |==> 1.0
135:LVR:0:NEG:org.jfree.chart.util.RectangleInsets@hashCode:198:0.0 |==> -1.0
136:ROR:!=(double,double):<(double,double):org.jfree.chart.util.RectangleInsets@hashCode:198:this.right != +0.0 |==> this.right < +0.0
137:ROR:!=(double,double):>(double,double):org.jfree.chart.util.RectangleInsets@hashCode:198:this.right != +0.0 |==> this.right > +0.0
138:ROR:!=(double,double):TRUE(double,double):org.jfree.chart.util.RectangleInsets@hashCode:198:this.right != +0.0 |==> true
139:LVR:0:POS:org.jfree.chart.util.RectangleInsets@hashCode:198:0L |==> 1L
140:LVR:0:NEG:org.jfree.chart.util.RectangleInsets@hashCode:198:0L |==> -1L
141:STD:<ASSIGN>:<NO-OP>:org.jfree.chart.util.RectangleInsets@hashCode:198:temp = this.right != +0.0 ? Double.doubleToLongBits(this.right) : 0L |==> <NO-OP>
142:LVR:POS:0:org.jfree.chart.util.RectangleInsets@hashCode:199:29 |==> 0
143:LVR:POS:NEG:org.jfree.chart.util.RectangleInsets@hashCode:199:29 |==> -29
144:AOR:*(int,int):%(int,int):org.jfree.chart.util.RectangleInsets@hashCode:199:29 * result |==> 29 % result
145:AOR:*(int,int):+(int,int):org.jfree.chart.util.RectangleInsets@hashCode:199:29 * result |==> 29 + result
146:AOR:*(int,int):-(int,int):org.jfree.chart.util.RectangleInsets@hashCode:199:29 * result |==> 29 - result
147:AOR:*(int,int):/(int,int):org.jfree.chart.util.RectangleInsets@hashCode:199:29 * result |==> 29 / result
148:LVR:POS:0:org.jfree.chart.util.RectangleInsets@hashCode:199:32 |==> 0
149:LVR:POS:NEG:org.jfree.chart.util.RectangleInsets@hashCode:199:32 |==> -32
150:SOR:>>>(long,int):<<(long,int):org.jfree.chart.util.RectangleInsets@hashCode:199:temp >>> 32 |==> temp << 32
151:SOR:>>>(long,int):>>(long,int):org.jfree.chart.util.RectangleInsets@hashCode:199:temp >>> 32 |==> temp >> 32
152:LOR:^(long,long):&(long,long):org.jfree.chart.util.RectangleInsets@hashCode:199:temp ^ (temp >>> 32) |==> temp & (temp >>> 32)
153:LOR:^(long,long):|(long,long):org.jfree.chart.util.RectangleInsets@hashCode:199:temp ^ (temp >>> 32) |==> temp | (temp >>> 32)
154:AOR:+(int,int):%(int,int):org.jfree.chart.util.RectangleInsets@hashCode:199:29 * result + (int)(temp ^ (temp >>> 32)) |==> 29 * result % (int)(temp ^ (temp >>> 32))
155:AOR:+(int,int):*(int,int):org.jfree.chart.util.RectangleInsets@hashCode:199:29 * result + (int)(temp ^ (temp >>> 32)) |==> 29 * result * (int)(temp ^ (temp >>> 32))
156:AOR:+(int,int):-(int,int):org.jfree.chart.util.RectangleInsets@hashCode:199:29 * result + (int)(temp ^ (temp >>> 32)) |==> 29 * result - (int)(temp ^ (temp >>> 32))
157:AOR:+(int,int):/(int,int):org.jfree.chart.util.RectangleInsets@hashCode:199:29 * result + (int)(temp ^ (temp >>> 32)) |==> 29 * result / (int)(temp ^ (temp >>> 32))
158:STD:<ASSIGN>:<NO-OP>:org.jfree.chart.util.RectangleInsets@hashCode:199:result = 29 * result + (int)(temp ^ (temp >>> 32)) |==> <NO-OP>
159:STD:CALL:<NO-OP>:org.jfree.chart.util.RectangleInsets@hashCode:200:result |==> 0
160:LVR:<CLASS>:<NULL>:org.jfree.chart.util.RectangleInsets@toString:210:"RectangleInsets[t=" |==> null
161:LVR:<CLASS>:<NULL>:org.jfree.chart.util.RectangleInsets@toString:210:",l=" |==> null
162:LVR:<CLASS>:<NULL>:org.jfree.chart.util.RectangleInsets@toString:211:",b=" |==> null
163:LVR:<CLASS>:<NULL>:org.jfree.chart.util.RectangleInsets@toString:211:",r=" |==> null
164:LVR:<CLASS>:<NULL>:org.jfree.chart.util.RectangleInsets@toString:211:"]" |==> null
165:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:229:base == null |==> false
166:LVR:<CLASS>:<NULL>:org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:230:"Null \'base\' argument." |==> null
167:STD:ASSIGN:<NO-OP>:org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:232:base.getX() |==> 0.0
168:STD:ASSIGN:<NO-OP>:org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:233:base.getY() |==> 0.0
169:STD:ASSIGN:<NO-OP>:org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:234:base.getWidth() |==> 0.0
170:STD:ASSIGN:<NO-OP>:org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:235:base.getHeight() |==> 0.0
171:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:236:horizontal == LengthAdjustmentType.EXPAND |==> false
172:STD:ASSIGN:<NO-OP>:org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:237:calculateLeftOutset(w) |==> 0.0
173:AOR:-(double,double):%(double,double):org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:238:x - leftOutset |==> x % leftOutset
174:AOR:-(double,double):*(double,double):org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:238:x - leftOutset |==> x * leftOutset
175:AOR:-(double,double):+(double,double):org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:238:x - leftOutset |==> x + leftOutset
176:AOR:-(double,double):/(double,double):org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:238:x - leftOutset |==> x / leftOutset
177:STD:<ASSIGN>:<NO-OP>:org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:238:x = x - leftOutset |==> <NO-OP>
178:AOR:+(double,double):%(double,double):org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:239:w + leftOutset |==> w % leftOutset
179:AOR:+(double,double):*(double,double):org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:239:w + leftOutset |==> w * leftOutset
180:AOR:+(double,double):-(double,double):org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:239:w + leftOutset |==> w - leftOutset
181:AOR:+(double,double):/(double,double):org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:239:w + leftOutset |==> w / leftOutset
182:AOR:+(double,double):%(double,double):org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:239:w + leftOutset + calculateRightOutset(w) |==> (w + leftOutset) % calculateRightOutset(w)
183:AOR:+(double,double):*(double,double):org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:239:w + leftOutset + calculateRightOutset(w) |==> (w + leftOutset) * calculateRightOutset(w)
184:AOR:+(double,double):-(double,double):org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:239:w + leftOutset + calculateRightOutset(w) |==> w + leftOutset - calculateRightOutset(w)
185:AOR:+(double,double):/(double,double):org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:239:w + leftOutset + calculateRightOutset(w) |==> (w + leftOutset) / calculateRightOutset(w)
186:STD:<ASSIGN>:<NO-OP>:org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:239:w = w + leftOutset + calculateRightOutset(w) |==> <NO-OP>
187:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:241:horizontal == LengthAdjustmentType.CONTRACT |==> false
188:STD:ASSIGN:<NO-OP>:org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:242:calculateLeftInset(w) |==> 0.0
189:AOR:+(double,double):%(double,double):org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:243:x + leftMargin |==> x % leftMargin
190:AOR:+(double,double):*(double,double):org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:243:x + leftMargin |==> x * leftMargin
191:AOR:+(double,double):-(double,double):org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:243:x + leftMargin |==> x - leftMargin
192:AOR:+(double,double):/(double,double):org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:243:x + leftMargin |==> x / leftMargin
193:STD:<ASSIGN>:<NO-OP>:org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:243:x = x + leftMargin |==> <NO-OP>
194:AOR:-(double,double):%(double,double):org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:244:w - leftMargin |==> w % leftMargin
195:AOR:-(double,double):*(double,double):org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:244:w - leftMargin |==> w * leftMargin
196:AOR:-(double,double):+(double,double):org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:244:w - leftMargin |==> w + leftMargin
197:AOR:-(double,double):/(double,double):org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:244:w - leftMargin |==> w / leftMargin
198:AOR:-(double,double):%(double,double):org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:244:w - leftMargin - calculateRightInset(w) |==> (w - leftMargin) % calculateRightInset(w)
199:AOR:-(double,double):*(double,double):org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:244:w - leftMargin - calculateRightInset(w) |==> (w - leftMargin) * calculateRightInset(w)
200:AOR:-(double,double):+(double,double):org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:244:w - leftMargin - calculateRightInset(w) |==> w - leftMargin + calculateRightInset(w)
201:AOR:-(double,double):/(double,double):org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:244:w - leftMargin - calculateRightInset(w) |==> (w - leftMargin) / calculateRightInset(w)
202:STD:<ASSIGN>:<NO-OP>:org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:244:w = w - leftMargin - calculateRightInset(w) |==> <NO-OP>
203:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:246:vertical == LengthAdjustmentType.EXPAND |==> false
204:STD:ASSIGN:<NO-OP>:org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:247:calculateTopOutset(h) |==> 0.0
205:AOR:-(double,double):%(double,double):org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:248:y - topMargin |==> y % topMargin
206:AOR:-(double,double):*(double,double):org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:248:y - topMargin |==> y * topMargin
207:AOR:-(double,double):+(double,double):org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:248:y - topMargin |==> y + topMargin
208:AOR:-(double,double):/(double,double):org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:248:y - topMargin |==> y / topMargin
209:STD:<ASSIGN>:<NO-OP>:org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:248:y = y - topMargin |==> <NO-OP>
210:AOR:+(double,double):%(double,double):org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:249:h + topMargin |==> h % topMargin
211:AOR:+(double,double):*(double,double):org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:249:h + topMargin |==> h * topMargin
212:AOR:+(double,double):-(double,double):org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:249:h + topMargin |==> h - topMargin
213:AOR:+(double,double):/(double,double):org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:249:h + topMargin |==> h / topMargin
214:AOR:+(double,double):%(double,double):org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:249:h + topMargin + calculateBottomOutset(h) |==> (h + topMargin) % calculateBottomOutset(h)
215:AOR:+(double,double):*(double,double):org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:249:h + topMargin + calculateBottomOutset(h) |==> (h + topMargin) * calculateBottomOutset(h)
